t_exec,t_pred,p_reversal,direction,signal_side,pos_side,action_close,action_open,price,cum_pnl
2026-01-07 10:38:00,2026-01-07 10:37:00,0.6260644197463989,-1,1,1,flat,OPEN side=1 p=0.626,38.56,0.016627219197819954
2026-01-07 10:39:00,2026-01-07 10:38:00,0.5022384524345398,-1,0,1,HOLD,already_in_position,38.52,0.016627219197819954
2026-01-07 10:40:00,2026-01-07 10:39:00,0.7287182211875916,-1,1,1,HOLD,already_in_position,38.44,0.016627219197819954
2026-01-07 10:41:00,2026-01-07 10:40:00,0.9337226152420044,-1,1,1,HOLD,already_in_position,38.56,0.016627219197819954
2026-01-07 10:42:00,2026-01-07 10:41:00,0.04684123024344444,-1,0,1,HOLD,already_in_position,38.54,0.016627219197819954
2026-01-07 10:43:00,2026-01-07 10:42:00,0.04884294793009758,-1,0,1,HOLD,already_in_position,38.5,0.016627219197819954
2026-01-07 10:44:00,2026-01-07 10:43:00,0.38655245304107666,-1,0,1,HOLD,already_in_position,38.52,0.016627219197819954
2026-01-07 10:45:00,2026-01-07 10:44:00,0.041987914592027664,-1,0,1,HOLD,already_in_position,38.56,0.016627219197819954
2026-01-07 10:46:00,2026-01-07 10:45:00,0.1623653918504715,-1,0,1,HOLD,already_in_position,38.58,0.016627219197819954
2026-01-07 10:47:00,2026-01-07 10:46:00,0.1688486635684967,-1,0,1,HOLD,already_in_position,38.58,0.016627219197819954
2026-01-07 10:48:00,2026-01-07 10:47:00,0.12681518495082855,-1,0,0,CLOSE pnl=0.00104,no_signal,38.6,0.0176645635961602
2026-01-07 10:49:00,2026-01-07 10:48:00,0.18632589280605316,1,0,0,flat,no_signal,38.58,0.0176645635961602
2026-01-07 10:50:00,2026-01-07 10:49:00,0.17802421748638153,-1,0,0,flat,no_signal,38.52,0.0176645635961602
2026-01-07 10:51:00,2026-01-07 10:50:00,0.22787566483020782,-1,0,0,flat,no_signal,38.54,0.0176645635961602
2026-01-07 10:52:00,2026-01-07 10:51:00,0.1051374152302742,-1,0,0,flat,no_signal,38.54,0.0176645635961602
2026-01-07 10:53:00,2026-01-07 10:52:00,0.09868726134300232,-1,0,0,flat,no_signal,38.52,0.0176645635961602
2026-01-07 10:54:00,2026-01-07 10:53:00,0.044477593153715134,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 10:55:00,2026-01-07 10:54:00,0.3096892237663269,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 10:56:00,2026-01-07 10:55:00,0.06455403566360474,1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 10:57:00,2026-01-07 10:56:00,0.04290347546339035,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 10:58:00,2026-01-07 10:57:00,0.018652955070137978,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 10:59:00,2026-01-07 10:58:00,0.016109758988022804,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 11:00:00,2026-01-07 10:59:00,0.016535619273781776,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 11:01:00,2026-01-07 11:00:00,0.021635813638567924,-1,0,0,flat,no_signal,38.5,0.0176645635961602
2026-01-07 11:02:00,2026-01-07 11:01:00,0.009869682602584362,-1,0,0,flat,no_signal,38.5,0.0176645635961602
2026-01-07 11:03:00,2026-01-07 11:02:00,0.007727958261966705,-1,0,0,flat,no_signal,38.5,0.0176645635961602
2026-01-07 11:04:00,2026-01-07 11:03:00,0.005482497625052929,-1,0,0,flat,no_signal,38.48,0.0176645635961602
2026-01-07 11:05:00,2026-01-07 11:04:00,0.004200366325676441,-1,0,0,flat,no_signal,38.5,0.0176645635961602
2026-01-07 11:06:00,2026-01-07 11:05:00,0.00469142897054553,-1,0,0,flat,no_signal,38.48,0.0176645635961602
2026-01-07 11:07:00,2026-01-07 11:06:00,0.004764827433973551,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 11:08:00,2026-01-07 11:07:00,0.001919586444273591,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 11:09:00,2026-01-07 11:08:00,0.0015372107736766338,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 11:10:00,2026-01-07 11:09:00,0.0012518311850726604,0,0,0,flat,no_signal,38.44,0.0176645635961602
2026-01-07 11:11:00,2026-01-07 11:10:00,0.0020285106729716063,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:12:00,2026-01-07 11:11:00,0.002432927954941988,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:13:00,2026-01-07 11:12:00,0.002165071899071336,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:14:00,2026-01-07 11:13:00,0.0016540185315534472,-1,0,0,flat,no_signal,38.44,0.0176645635961602
2026-01-07 11:15:00,2026-01-07 11:14:00,0.0010774718830361962,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:16:00,2026-01-07 11:15:00,0.001370925223454833,-1,0,0,flat,no_signal,38.44,0.0176645635961602
2026-01-07 11:17:00,2026-01-07 11:16:00,0.0008037200896069407,-1,0,0,flat,no_signal,38.44,0.0176645635961602
2026-01-07 11:18:00,2026-01-07 11:17:00,0.001279899850487709,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 11:19:00,2026-01-07 11:18:00,0.0015472488012164831,-1,0,0,flat,no_signal,38.46,0.0176645635961602
2026-01-07 11:20:00,2026-01-07 11:19:00,0.0026789058465510607,-1,0,0,flat,no_signal,38.4,0.0176645635961602
2026-01-07 11:21:00,2026-01-07 11:20:00,0.0033799244556576014,-1,0,0,flat,no_signal,38.38,0.0176645635961602
2026-01-07 11:22:00,2026-01-07 11:21:00,0.00480835372582078,-1,0,0,flat,no_signal,38.38,0.0176645635961602
2026-01-07 11:23:00,2026-01-07 11:22:00,0.002211591461673379,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:24:00,2026-01-07 11:23:00,0.002282655332237482,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:25:00,2026-01-07 11:24:00,0.0017356143798679113,-1,0,0,flat,no_signal,38.4,0.0176645635961602
2026-01-07 11:26:00,2026-01-07 11:25:00,0.0010217285016551614,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:27:00,2026-01-07 11:26:00,0.0009969063103199005,0,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:28:00,2026-01-07 11:27:00,0.0009969063103199005,0,0,0,flat,no_signal,38.4,0.0176645635961602
2026-01-07 11:29:00,2026-01-07 11:28:00,0.0006304119597189128,-1,0,0,flat,no_signal,38.42,0.0176645635961602
2026-01-07 11:30:00,2026-01-07 11:29:00,0.0013081682845950127,-1,0,0,flat,no_signal,38.4,0.0176645635961602
2026-01-07 11:31:00,2026-01-07 11:30:00,0.0010367236100137234,-1,0,0,flat,no_signal,38.38,0.0176645635961602
2026-01-07 11:32:00,2026-01-07 11:31:00,0.0013948759296908975,-1,0,0,flat,no_signal,38.36,0.0176645635961602
2026-01-07 11:33:00,2026-01-07 11:32:00,0.0016212704358622432,-1,0,0,flat,no_signal,38.38,0.0176645635961602
2026-01-07 11:34:00,2026-01-07 11:33:00,0.0008315626764670014,-1,0,0,flat,no_signal,38.36,0.0176645635961602
2026-01-07 11:35:00,2026-01-07 11:34:00,0.001773123163729906,-1,0,0,flat,no_signal,38.32,0.0176645635961602
2026-01-07 11:36:00,2026-01-07 11:35:00,0.11149930208921432,-1,0,0,flat,no_signal,38.32,0.0176645635961602
2026-01-07 11:37:00,2026-01-07 11:36:00,0.07892155647277832,-1,0,0,flat,no_signal,38.34,0.0176645635961602
2026-01-07 11:38:00,2026-01-07 11:37:00,0.009235668927431107,-1,0,0,flat,no_signal,38.34,0.0176645635961602
2026-01-07 11:39:00,2026-01-07 11:38:00,0.0059480853378772736,-1,0,0,flat,no_signal,38.32,0.0176645635961602
2026-01-07 11:40:00,2026-01-07 11:39:00,0.022754060104489326,-1,0,0,flat,no_signal,38.34,0.0176645635961602
2026-01-07 11:41:00,2026-01-07 11:40:00,0.0010228081373497844,-1,0,0,flat,no_signal,38.34,0.0176645635961602
2026-01-07 11:42:00,2026-01-07 11:41:00,0.0009407067555002868,-1,0,0,flat,no_signal,38.34,0.0176645635961602
2026-01-07 11:43:00,2026-01-07 11:42:00,0.0007909226696938276,-1,0,0,flat,no_signal,38.3,0.0176645635961602
2026-01-07 11:44:00,2026-01-07 11:43:00,0.0035944324918091297,-1,0,0,flat,no_signal,38.28,0.0176645635961602
2026-01-07 11:45:00,2026-01-07 11:44:00,0.02701595611870289,-1,0,0,flat,no_signal,38.28,0.0176645635961602
2026-01-07 11:46:00,2026-01-07 11:45:00,0.031907469034194946,-1,0,0,flat,no_signal,38.3,0.0176645635961602
2026-01-07 11:47:00,2026-01-07 11:46:00,0.0017913278425112367,-1,0,0,flat,no_signal,38.3,0.0176645635961602
2026-01-07 11:48:00,2026-01-07 11:47:00,0.0019750690553337336,-1,0,0,flat,no_signal,38.32,0.0176645635961602
2026-01-07 11:49:00,2026-01-07 11:48:00,0.0016991241136565804,-1,0,0,flat,no_signal,38.32,0.0176645635961602
2026-01-07 11:50:00,2026-01-07 11:49:00,0.0010841013863682747,-1,0,0,flat,no_signal,38.3,0.0176645635961602
2026-01-07 11:51:00,2026-01-07 11:50:00,0.001005610334686935,-1,0,0,flat,no_signal,38.32,0.0176645635961602
2026-01-07 11:52:00,2026-01-07 11:51:00,0.0014277588343247771,0,0,0,flat,no_signal,38.3,0.0176645635961602
2026-01-07 11:53:00,2026-01-07 11:52:00,0.0015484581235796213,-1,0,0,flat,no_signal,38.3,0.0176645635961602
2026-01-07 11:54:00,2026-01-07 11:53:00,0.0009579851175658405,-1,0,0,flat,no_signal,38.28,0.0176645635961602
2026-01-07 11:55:00,2026-01-07 11:54:00,0.0011296882294118404,-1,0,0,flat,no_signal,38.28,0.0176645635961602
2026-01-07 11:56:00,2026-01-07 11:55:00,0.0008613457321189344,-1,0,0,flat,no_signal,38.26,0.0176645635961602
2026-01-07 11:57:00,2026-01-07 11:56:00,0.0012424072483554482,-1,0,0,flat,no_signal,38.26,0.0176645635961602
2026-01-07 11:58:00,2026-01-07 11:57:00,0.0010268946643918753,-1,0,0,flat,no_signal,38.26,0.0176645635961602
2026-01-07 11:59:00,2026-01-07 11:58:00,0.0008526641759090126,-1,0,0,flat,no_signal,38.26,0.0176645635961602
2026-01-07 12:00:00,2026-01-07 11:59:00,0.0007953535532578826,-1,0,0,flat,no_signal,38.24,0.0176645635961602
2026-01-07 13:02:00,2026-01-07 13:01:00,0.3701590597629547,-1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:03:00,2026-01-07 13:02:00,0.18116670846939087,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:04:00,2026-01-07 13:03:00,0.37935566902160645,-1,0,0,flat,no_signal,38.1,0.0176645635961602
2026-01-07 13:05:00,2026-01-07 13:04:00,0.37935566902160645,-1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:06:00,2026-01-07 13:05:00,0.06710907816886902,-1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:07:00,2026-01-07 13:06:00,0.04242819547653198,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:08:00,2026-01-07 13:07:00,0.12505944073200226,-1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:09:00,2026-01-07 13:08:00,0.023996200412511826,-1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:10:00,2026-01-07 13:09:00,0.009189121425151825,-1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:11:00,2026-01-07 13:10:00,0.01502885203808546,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:12:00,2026-01-07 13:11:00,0.020899757742881775,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:13:00,2026-01-07 13:12:00,0.014791744761168957,-1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:14:00,2026-01-07 13:13:00,0.013826915994286537,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:15:00,2026-01-07 13:14:00,0.01683415286242962,-1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:16:00,2026-01-07 13:15:00,0.03511836379766464,-1,0,0,flat,no_signal,38.22,0.0176645635961602
2026-01-07 13:17:00,2026-01-07 13:16:00,0.14921705424785614,1,0,0,flat,no_signal,38.24,0.0176645635961602
2026-01-07 13:18:00,2026-01-07 13:17:00,0.20940804481506348,1,0,0,flat,no_signal,38.22,0.0176645635961602
2026-01-07 13:19:00,2026-01-07 13:18:00,0.0690903514623642,1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:20:00,2026-01-07 13:19:00,0.11078336089849472,1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:21:00,2026-01-07 13:20:00,0.04252031818032265,0,0,0,flat,no_signal,38.24,0.0176645635961602
2026-01-07 13:22:00,2026-01-07 13:21:00,0.30367493629455566,1,0,0,flat,no_signal,38.22,0.0176645635961602
2026-01-07 13:23:00,2026-01-07 13:22:00,0.10819624364376068,1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:24:00,2026-01-07 13:23:00,0.06860814988613129,0,0,0,flat,no_signal,38.22,0.0176645635961602
2026-01-07 13:25:00,2026-01-07 13:24:00,0.0556243471801281,1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:26:00,2026-01-07 13:25:00,0.018987715244293213,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:27:00,2026-01-07 13:26:00,0.005078564863651991,1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:28:00,2026-01-07 13:27:00,0.003734155325219035,1,0,0,flat,no_signal,38.12,0.0176645635961602
2026-01-07 13:29:00,2026-01-07 13:28:00,0.123875193297863,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:30:00,2026-01-07 13:29:00,0.010279365815222263,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:31:00,2026-01-07 13:30:00,0.011645834892988205,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:32:00,2026-01-07 13:31:00,0.0058920602314174175,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:33:00,2026-01-07 13:32:00,0.0018201206112280488,-1,0,0,flat,no_signal,38.14,0.0176645635961602
